player,recent_form,role,predicted_points,credits
R Shepherd,20.8,allrounder,26.98744456695899,7
Yash Dayal,20.8,allrounder,26.98744456695899,7
Mohammed Shami,20.8,allrounder,26.98744456695899,7
Avesh Khan,20.8,allrounder,26.98744456695899,7
Kamran Khan,20.8,allrounder,26.98744456695899,7
HV Patel,37.8,allrounder,26.891725053793408,7
KV Sharma,37.8,allrounder,26.891725053793408,7
Anmolpreet Singh,21.8,batsman,26.87413875202036,7
DR Smith,21.8,allrounder,26.87413875202036,7
CH Gayle,21.8,allrounder,26.87413875202036,7
N Rana,21.8,allrounder,26.87413875202036,7
SV Samson,30.6,batsman,26.775320648948192,7
Iqbal Abdulla,26.2,allrounder,26.738512629295105,7
S Badree,26.2,allrounder,26.738512629295105,7
MA Starc,26.2,allrounder,26.738512629295105,7
NT Ellis,26.2,allrounder,26.738512629295105,7
Arshdeep Singh,26.2,allrounder,26.738512629295105,7
WG Jacks,26.2,allrounder,26.738512629295105,7
VY Mahesh,26.2,allrounder,26.738512629295105,7
MF Maharoof,31.6,allrounder,26.724418206892693,7
P Parameswaran,31.6,allrounder,26.724418206892693,7
L Balaji,31.6,allrounder,26.724418206892693,7
CR Brathwaite,17.8,allrounder,26.677402031360508,7
AN Ahmed,16.6,allrounder,26.579211195076677,7
SP Narine,16.6,allrounder,26.579211195076677,7
J Syed Mohammad,16.6,allrounder,26.579211195076677,7
Basil Thampi,22.4,allrounder,26.466277671445244,7
A Kumble,22.4,allrounder,26.466277671445244,7
R Bhatia,22.4,allrounder,26.466277671445244,7
CV Varun,36.2,allrounder,26.38759247053239,7
CK Langeveldt,43.2,allrounder,26.328596132159042,7
AJ Finch,23.6,allrounder,26.287409025144083,7
TK Curran,23.6,allrounder,26.287409025144083,7
Shashank Singh,8.333333333333334,allrounder,26.28733680346415,7
W O'Rourke,53.0,bowler,26.267366175491183,7
Sameer Rizvi,20.2,batsman,26.234947967183647,7
DA Warner,20.2,allrounder,26.234947967183647,7
