matchId,bowler,runs_conceded,balls_bowled,economy,wickets
336006,JH Kallis,14,18,4.666666666666667,0.0
336006,JR Hopes,10,6,10.0,0.0
336006,P Kumar,22,24,5.5,2.0
336006,PP Chawla,20,24,5.0,3.0
336006,S Sreesanth,14,24,3.5,2.0
336006,VRV Singh,32,24,8.0,1.0
336006,Z Khan,26,24,6.5,2.0
336007,DP Vijaykumar,17,18,5.666666666666666,1.0
336007,JA Morkel,25,24,6.25,1.0
336007,Joginder Sharma,43,20,12.899999999999999,0.0
336007,M Muralitharan,23,24,5.75,1.0
336007,M Ntini,37,24,9.25,0.0
336007,MS Gony,15,18,5.0,1.0
336007,PP Ojha,21,24,5.25,1.0
336007,RP Singh,10,18,3.3333333333333335,2.0
336007,SB Bangar,36,24,9.0,1.0
336007,SB Styris,23,18,7.666666666666666,1.0
336007,Shahid Afridi,27,18,9.0,1.0
336008,A Nehra,13,18,4.333333333333333,3.0
336008,DJ Bravo,8,14,3.4285714285714284,2.0
336008,DS Kulkarni,21,18,7.0,2.0
336008,MM Patel,20,18,6.666666666666667,0.0
336008,RR Raje,18,18,6.0,2.0
336008,SK Trivedi,23,18,7.666666666666666,0.0
336008,SK Warne,15,12,7.5,1.0
336008,SM Pollock,19,18,6.333333333333334,1.0
336008,SR Watson,25,24,6.25,2.0
336008,ST Jayasuriya,17,12,8.5,0.0
336008,Sohail Tanvir,9,19,2.8421052631578947,0.0
336009,CK Kapugedera,15,6,15.0,0.0
336009,GD McGrath,23,24,5.75,0.0
336009,JA Morkel,33,26,7.615384615384615,2.0
336009,L Balaji,35,24,8.75,2.0
336009,M Muralitharan,22,24,5.5,0.0
336009,MS Gony,35,24,8.75,1.0
336009,Mohammad Asif,33,24,8.25,1.0
336009,P Amarnath,35,18,11.666666666666666,0.0
336009,PJ Sangwan,28,24,7.0,2.0
336009,Shoaib Malik,25,12,12.5,0.0
336009,V Sehwag,30,12,15.0,0.0
336009,VY Mahesh,38,24,9.5,2.0
336010,A Kumble,21,18,7.0,0.0
336010,AB Dinda,19,18,6.333333333333334,0.0
336010,DW Steyn,26,24,6.5,3.0
336010,I Sharma,25,24,6.25,1.0
336010,LR Shukla,15,6,15.0,0.0
336010,M Kartik,24,12,12.0,0.0
336010,P Kumar,36,18,12.0,1.0
336010,R Vinay Kumar,15,18,5.0,0.0
336010,SC Ganguly,7,18,2.3333333333333335,1.0
336010,Umar Gul,28,19,8.842105263157894,0.0
336010,Z Khan,26,18,8.666666666666666,1.0
336011,DP Vijaykumar,10,6,10.0,0.0
336011,MM Patel,28,24,7.0,1.0
336011,PP Ojha,41,24,10.25,1.0
336011,RP Singh,23,24,5.75,1.0
336011,SB Bangar,20,12,10.0,0.0
336011,SB Styris,13,12,6.5,0.0
336011,SK Trivedi,8,18,2.6666666666666665,1.0
336011,SK Warne,20,24,5.0,2.0
336011,SR Watson,21,19,6.631578947368421,1.0
336011,Shahid Afridi,10,12,5.0,0.0
336011,Sohail Tanvir,38,24,9.5,0.0
336011,Y Venugopal Rao,13,6,13.0,0.0
336011,YK Pathan,19,12,9.5,1.0
336012,A Kumble,45,24,11.25,0.0
336012,A Nehra,21,18,7.0,1.0
336012,B Akhil,17,18,5.666666666666666,0.0
336012,CRD Fernando,17,24,4.25,4.0
336012,DR Smith,21,24,5.25,3.0
336012,DS Kulkarni,29,19,9.157894736842106,0.0
336012,DW Steyn,11,24,2.75,1.0
336012,P Kumar,15,12,7.5,0.0
336012,R Vinay Kumar,25,18,8.333333333333332,0.0
336012,SM Pollock,23,24,5.75,0.0
336013,CK Kapugedera,8,6,8.0,0.0
336013,IK Pathan,30,24,7.5,0.0
336013,JA Morkel,25,24,6.25,1.0
336013,JR Hopes,34,24,8.5,0.0
336013,L Balaji,23,24,5.75,5.0
336013,M Muralitharan,31,24,7.75,1.0
336013,MS Gony,38,24,9.5,1.0
336013,P Amarnath,35,18,11.666666666666666,1.0
336013,PP Chawla,35,18,11.666666666666666,1.0
336013,S Sreesanth,26,24,6.5,2.0
336013,VRV Singh,33,25,7.92,1.0
336013,Yuvraj Singh,8,6,8.0,0.0
336014,AB Dinda,32,24,8.0,3.0
336014,DP Vijaykumar,20,19,6.315789473684211,1.0
336014,I Sharma,27,18,9.0,0.0
336014,LR Shukla,15,13,6.9230769230769225,1.0
336014,M Kartik,29,18,9.666666666666668,0.0
336014,PP Ojha,24,12,12.0,0.0
336014,RP Singh,58,24,14.5,1.0
336014,SB Bangar,10,6,10.0,0.0
336014,SB Styris,28,18,9.333333333333334,0.0
336014,SC Ganguly,25,24,6.25,2.0
336014,Umar Gul,37,27,8.222222222222223,1.0
336014,WPUJC Vaas,36,18,12.0,1.0
336014,Y Venugopal Rao,23,24,5.75,0.0
336015,A Mishra,24,18,8.0,2.0
336015,AD Mascarenhas,27,24,6.75,2.0
336015,GD McGrath,11,24,2.75,0.0
336015,MF Maharoof,20,24,5.0,1.0
336015,MM Patel,23,24,5.75,0.0
336015,PJ Sangwan,33,24,8.25,0.0
